Year,System,Description,Part,Supplier,Quantity,Price Per Unit,Total Price
2011,Drive Train,GearBox,,AndyMark,2,170.00,340.00
2011,Drive Train,Mecanum Wheels,,AndyMark,4,100.00,400.00
2011,Drive Train,2.5” CIM Motor,,AndyMark,4,0.00,0.00
2011,Drive Train,AndyMark Drive Base Kit,"2011 FIRST wheel, rubber tread",AndyMark,1,0.00,0.00
2011,Drive Train,Frame,,Industrial Metal Supply Co.,4,18.00,72.00
2011,Electronics,"Camera, Axis M1011",,Anixter,1,0.00,0.00
2011,Electronics,Spiral Wrap,,Fry's Electronics,7,4.00,28.00
2011,Electronics,Ethernet Jack,,Fry's Electronics,1,24.99,24.99
2011,Electronics,2-Pin Connectors,,Fry's Electronics,10,0.25,2.50
2011,Electronics,4-Pin Connectors,,Fry's Electronics,6,0.25,1.50
2011,Electronics,6-Port Ethernet Panel,,Fry's Electronics,2,1.00,2.00
2011,Electronics,"Radio, Robot",,GovConnection,1,0.00,0.00
2011,Electronics,Velcro,,Home Depot,1,11.00,11.00
2011,Electronics,Wiring (Red + Black),,Home Depot,90,0.26,23.40
2011,Electronics,Ventilation Plates,,Industrial Metal Supply Co.,1,7.00,7.00
2011,Electronics,Port Mounts,,Industrial Metal Supply Co.,1,7.00,7.00
2011,Electronics,Relay Module (Spike),,Innovation First,1,0.00,0.00
2011,Electronics,Speed Controller (Victor 884),,Innovation First,1,0.00,0.00
2011,Electronics,Power Connectors,,Molex Electronics,15,1.25,18.75
2011,Electronics,Analog Input Module,,National Instruments,1,0.00,0.00
2011,Electronics,compactRIO,,National Instruments,1,0.00,0.00
2011,Electronics,Digital I/O Module,,National Instruments,2,0.00,0.00
2011,Electronics,Polycabornate Housing,,Rideout Plastics,1,80.00,80.00
2011,Electronics,Photo sensor,,Rockwell Automation,3,0.00,0.00
2011,Electronics,Wiring (Blue + Red),,SD Electronics,20,0.50,10.00
2011,Electronics,"Cable Assembly, Enet Xover",,SF Cable,1,0.00,0.00
2011,Electronics,20Amp circuit breaker,,Snap Action,7,0.00,0.00
2011,Electronics,40Amp circuit breaker,,Snap Action,8,0.00,0.00
2011,Electronics,Circuit Breaker,,Terminal Supply Company,1,0.00,0.00
