Year,2011,2014,2015,2016
<Unkown>,2.31%,,27.62%,
AndyMark,39.74%,27.12%,,25.68%
"BaneBots, LLC",,0.43%,0.27%,
Cross the Road Electronics,,14.02%,,
Digikey,,,2.49%,4.80%
Fry's Electronics,3.17%,0.82%,,
Grayhill,,,3.93%,
Haydon Kerk,,,0.93%,
Home Depot,10.28%,,,
Industrial Metal Supply Co.,9.67%,,7.77%,
McMaster-Carr,,2.63%,0.93%,23.54%
Molex Electronics,1.01%,,,
Ridout Plastcis,4.30%,6.79%,1.38%,
Robotmarketplace,,,3.72%,
SD Electronics,0.54%,,,
SDP-SI,,,3.39%,
Thunderbird Waterjet,,21.06%,10.08%,
US Digital,,5.34%,,
Vex Robotics ,29.00%,7.91%,37.49%,45.99%
West Coast Products,,13.87%,,
